2024-09-26 14:25:35 startup archives unpack
2024-09-26 14:25:35 install libestr0:amd64 <none> 0.1.11-1build1
2024-09-26 14:25:35 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.3
2024-09-26 14:25:35 status half-installed libestr0:amd64 0.1.11-1build1
2024-09-26 14:25:35 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-26 14:25:35 install libfastjson4:amd64 <none> 1.2304.0-1build1
2024-09-26 14:25:35 status half-installed libfastjson4:amd64 1.2304.0-1build1
2024-09-26 14:25:35 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-26 14:25:35 install libpopt0:amd64 <none> 1.19+dfsg-1build1
2024-09-26 14:25:35 status half-installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 14:25:35 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 14:25:35 install logrotate:amd64 <none> 3.21.0-2build1
2024-09-26 14:25:35 status half-installed logrotate:amd64 3.21.0-2build1
2024-09-26 14:25:35 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-26 14:25:35 install rsyslog:amd64 <none> 8.2312.0-3ubuntu9
2024-09-26 14:25:35 status half-installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-26 14:25:35 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-26 14:25:36 startup packages configure
2024-09-26 14:25:36 configure libestr0:amd64 0.1.11-1build1 <none>
2024-09-26 14:25:36 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-26 14:25:36 status half-configured libestr0:amd64 0.1.11-1build1
2024-09-26 14:25:36 status installed libestr0:amd64 0.1.11-1build1
2024-09-26 14:25:36 configure libfastjson4:amd64 1.2304.0-1build1 <none>
2024-09-26 14:25:36 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-26 14:25:36 status half-configured libfastjson4:amd64 1.2304.0-1build1
2024-09-26 14:25:36 status installed libfastjson4:amd64 1.2304.0-1build1
2024-09-26 14:25:36 configure rsyslog:amd64 8.2312.0-3ubuntu9 <none>
2024-09-26 14:25:36 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-26 14:25:36 status half-configured rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-26 14:25:37 status installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-26 14:25:37 configure libpopt0:amd64 1.19+dfsg-1build1 <none>
2024-09-26 14:25:37 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 14:25:37 status half-configured libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 14:25:37 status installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 14:25:37 configure logrotate:amd64 3.21.0-2build1 <none>
2024-09-26 14:25:37 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-26 14:25:37 status half-configured logrotate:amd64 3.21.0-2build1
2024-09-26 14:25:37 status installed logrotate:amd64 3.21.0-2build1
2024-09-26 14:25:37 trigproc libc-bin:amd64 2.39-0ubuntu8.3 <none>
2024-09-26 14:25:37 status half-configured libc-bin:amd64 2.39-0ubuntu8.3
2024-09-26 14:25:37 status installed libc-bin:amd64 2.39-0ubuntu8.3
2024-09-26 15:16:56 startup archives unpack
2024-09-26 15:16:56 install libestr0:amd64 <none> 0.1.11-1build1
2024-09-26 15:16:56 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.3
2024-09-26 15:16:56 status half-installed libestr0:amd64 0.1.11-1build1
2024-09-26 15:16:56 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-26 15:16:57 install libfastjson4:amd64 <none> 1.2304.0-1build1
2024-09-26 15:16:57 status half-installed libfastjson4:amd64 1.2304.0-1build1
2024-09-26 15:16:57 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-26 15:16:57 install libpopt0:amd64 <none> 1.19+dfsg-1build1
2024-09-26 15:16:57 status half-installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 15:16:57 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 15:16:57 install logrotate:amd64 <none> 3.21.0-2build1
2024-09-26 15:16:57 status half-installed logrotate:amd64 3.21.0-2build1
2024-09-26 15:16:57 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-26 15:16:57 install rsyslog:amd64 <none> 8.2312.0-3ubuntu9
2024-09-26 15:16:57 status half-installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-26 15:16:57 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-26 15:16:57 startup packages configure
2024-09-26 15:16:57 configure libestr0:amd64 0.1.11-1build1 <none>
2024-09-26 15:16:57 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-26 15:16:57 status half-configured libestr0:amd64 0.1.11-1build1
2024-09-26 15:16:57 status installed libestr0:amd64 0.1.11-1build1
2024-09-26 15:16:57 configure libfastjson4:amd64 1.2304.0-1build1 <none>
2024-09-26 15:16:57 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-26 15:16:57 status half-configured libfastjson4:amd64 1.2304.0-1build1
2024-09-26 15:16:57 status installed libfastjson4:amd64 1.2304.0-1build1
2024-09-26 15:16:57 configure rsyslog:amd64 8.2312.0-3ubuntu9 <none>
2024-09-26 15:16:57 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-26 15:16:57 status half-configured rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-26 15:16:58 status installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-26 15:16:58 configure libpopt0:amd64 1.19+dfsg-1build1 <none>
2024-09-26 15:16:58 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 15:16:58 status half-configured libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 15:16:58 status installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 15:16:58 configure logrotate:amd64 3.21.0-2build1 <none>
2024-09-26 15:16:58 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-26 15:16:58 status half-configured logrotate:amd64 3.21.0-2build1
2024-09-26 15:16:58 status installed logrotate:amd64 3.21.0-2build1
2024-09-26 15:16:58 trigproc libc-bin:amd64 2.39-0ubuntu8.3 <none>
2024-09-26 15:16:58 status half-configured libc-bin:amd64 2.39-0ubuntu8.3
2024-09-26 15:16:58 status installed libc-bin:amd64 2.39-0ubuntu8.3
2024-09-26 16:12:38 startup archives unpack
2024-09-26 16:12:38 install libestr0:amd64 <none> 0.1.11-1build1
2024-09-26 16:12:38 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.3
2024-09-26 16:12:38 status half-installed libestr0:amd64 0.1.11-1build1
2024-09-26 16:12:38 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-26 16:12:38 install libfastjson4:amd64 <none> 1.2304.0-1build1
2024-09-26 16:12:38 status half-installed libfastjson4:amd64 1.2304.0-1build1
2024-09-26 16:12:38 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-26 16:12:38 install libpopt0:amd64 <none> 1.19+dfsg-1build1
2024-09-26 16:12:38 status half-installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 16:12:38 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 16:12:38 install logrotate:amd64 <none> 3.21.0-2build1
2024-09-26 16:12:38 status half-installed logrotate:amd64 3.21.0-2build1
2024-09-26 16:12:38 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-26 16:12:38 install rsyslog:amd64 <none> 8.2312.0-3ubuntu9
2024-09-26 16:12:38 status half-installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-26 16:12:38 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-26 16:12:39 startup packages configure
2024-09-26 16:12:39 configure libestr0:amd64 0.1.11-1build1 <none>
2024-09-26 16:12:39 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-26 16:12:39 status half-configured libestr0:amd64 0.1.11-1build1
2024-09-26 16:12:39 status installed libestr0:amd64 0.1.11-1build1
2024-09-26 16:12:39 configure libfastjson4:amd64 1.2304.0-1build1 <none>
2024-09-26 16:12:39 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-26 16:12:39 status half-configured libfastjson4:amd64 1.2304.0-1build1
2024-09-26 16:12:39 status installed libfastjson4:amd64 1.2304.0-1build1
2024-09-26 16:12:39 configure rsyslog:amd64 8.2312.0-3ubuntu9 <none>
2024-09-26 16:12:39 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-26 16:12:39 status half-configured rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-26 16:12:39 status installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-26 16:12:39 configure libpopt0:amd64 1.19+dfsg-1build1 <none>
2024-09-26 16:12:39 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 16:12:39 status half-configured libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 16:12:40 status installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-26 16:12:40 configure logrotate:amd64 3.21.0-2build1 <none>
2024-09-26 16:12:40 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-26 16:12:40 status half-configured logrotate:amd64 3.21.0-2build1
2024-09-26 16:12:40 status installed logrotate:amd64 3.21.0-2build1
2024-09-26 16:12:40 trigproc libc-bin:amd64 2.39-0ubuntu8.3 <none>
2024-09-26 16:12:40 status half-configured libc-bin:amd64 2.39-0ubuntu8.3
2024-09-26 16:12:40 status installed libc-bin:amd64 2.39-0ubuntu8.3
2024-09-27 02:12:36 startup archives unpack
2024-09-27 02:12:36 install libestr0:amd64 <none> 0.1.11-1build1
2024-09-27 02:12:36 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.3
2024-09-27 02:12:36 status half-installed libestr0:amd64 0.1.11-1build1
2024-09-27 02:12:36 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-27 02:12:36 install libfastjson4:amd64 <none> 1.2304.0-1build1
2024-09-27 02:12:36 status half-installed libfastjson4:amd64 1.2304.0-1build1
2024-09-27 02:12:36 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-27 02:12:36 install libpopt0:amd64 <none> 1.19+dfsg-1build1
2024-09-27 02:12:36 status half-installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 02:12:36 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 02:12:36 install logrotate:amd64 <none> 3.21.0-2build1
2024-09-27 02:12:36 status half-installed logrotate:amd64 3.21.0-2build1
2024-09-27 02:12:36 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-27 02:12:36 install rsyslog:amd64 <none> 8.2312.0-3ubuntu9
2024-09-27 02:12:36 status half-installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 02:12:36 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 02:12:36 startup packages configure
2024-09-27 02:12:36 configure libestr0:amd64 0.1.11-1build1 <none>
2024-09-27 02:12:36 status unpacked libestr0:amd64 0.1.11-1build1
2024-09-27 02:12:36 status half-configured libestr0:amd64 0.1.11-1build1
2024-09-27 02:12:36 status installed libestr0:amd64 0.1.11-1build1
2024-09-27 02:12:36 configure libfastjson4:amd64 1.2304.0-1build1 <none>
2024-09-27 02:12:36 status unpacked libfastjson4:amd64 1.2304.0-1build1
2024-09-27 02:12:36 status half-configured libfastjson4:amd64 1.2304.0-1build1
2024-09-27 02:12:37 status installed libfastjson4:amd64 1.2304.0-1build1
2024-09-27 02:12:37 configure rsyslog:amd64 8.2312.0-3ubuntu9 <none>
2024-09-27 02:12:37 status unpacked rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 02:12:37 status half-configured rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 02:12:37 status installed rsyslog:amd64 8.2312.0-3ubuntu9
2024-09-27 02:12:37 configure libpopt0:amd64 1.19+dfsg-1build1 <none>
2024-09-27 02:12:37 status unpacked libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 02:12:37 status half-configured libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 02:12:37 status installed libpopt0:amd64 1.19+dfsg-1build1
2024-09-27 02:12:37 configure logrotate:amd64 3.21.0-2build1 <none>
2024-09-27 02:12:37 status unpacked logrotate:amd64 3.21.0-2build1
2024-09-27 02:12:38 status half-configured logrotate:amd64 3.21.0-2build1
2024-09-27 02:12:38 status installed logrotate:amd64 3.21.0-2build1
2024-09-27 02:12:38 trigproc libc-bin:amd64 2.39-0ubuntu8.3 <none>
